dataset_source,llm,code,label
self_constructed,Human,"def merge_sort(collection):
    def merge(left, right):
        left_index, right_index = 0, 0
        left_len, right_len = len(left), len(right)
        merged = []
        while left_index < left_len and right_index < right_len:
            if left[left_index] <= right[right_index]:
                merged.append(left[left_index])
                left_index += 1
            else:
                merged.append(right[right_index])
                right_index += 1
        if left_index == left_len:
            merged.extend(right[right_index:])
        else:
            merged.extend(left[left_index:])
        return merged
    if len(collection) <= 1:
        return collection
    mid = len(collection) // 2
    return merge(merge_sort(collection[:mid]), merge_sort(collection[mid:]))",0
self_constructed,Human,"def partition(items, begin, end):
    pivot = items[begin]
    i = begin + 1
    for j in range(begin + 1, end):
        if items[j] < pivot:
            items[i], items[j] = items[j], items[i]
            i += 1
    items[begin], items[i - 1] = items[i - 1], items[begin]
    return i - 1
def quick_sort(items, begin=0, end=None):
    if end is None: end = len(items)
    if begin >= end: return items
    p = partition(items, begin, end)
    quick_sort(items, begin, p)
    quick_sort(items, p + 1, end)
    return items",0
self_constructed,Human,"from collections import deque
def breadth_first_search(graph, start, goal=None):
    visited = set()
    queue = deque([[start]])
    while queue:
        path = queue.popleft()
        vertex = path[-1]
        if vertex not in visited:
            if goal is not None and vertex == goal: return path
            visited.add(vertex)
            for current_neighbour in graph.get(vertex, []):
                new_path = path + [current_neighbour]
                queue.append(new_path)
    return None",0
self_constructed,Human,"class Node:
    def __init__(self, data):
        self.data, self.left, self.right = data, None, None
class BinarySearchTree:
    def __init__(self): self.root = None
    def insert(self, data):
        if not self.root: self.root = Node(data)
        else: self._insert_recursive(self.root, data)
    def _insert_recursive(self, node, data):
        if data < node.data:
            if node.left: self._insert_recursive(node.left, data)
            else: node.left = Node(data)
        else:
            if node.right: self._insert_recursive(node.right, data)
            else: node.right = Node(data)",0
self_constructed,Human,"import heapq
def dijkstra(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        curr_dist, curr_node = heapq.heappop(pq)
        if curr_dist > distances[curr_node]: continue
        for neighbor, weight in graph[curr_node].items():
            distance = curr_dist + weight
            if distance < distances[neighbor]:
                distances[neighbor] = distance
                heapq.heappush(pq, (distance, neighbor))
    return distances",0
self_constructed,Human,"def heapify(unsorted, index, heap_size):
    largest = index
    left_index = 2 * index + 1
    right_index = 2 * index + 2
    if left_index < heap_size and unsorted[left_index] > unsorted[largest]:
        largest = left_index
    if right_index < heap_size and unsorted[right_index] > unsorted[largest]:
        largest = right_index
    if largest != index:
        unsorted[largest], unsorted[index] = unsorted[index], unsorted[largest]
        heapify(unsorted, largest, heap_size)
def heap_sort(unsorted):
    n = len(unsorted)
    for i in range(n // 2 - 1, -1, -1):
        heapify(unsorted, i, n)
    for i in range(n - 1, 0, -1):
        unsorted[0], unsorted[i] = unsorted[i], unsorted[0]
        heapify(unsorted, 0, i)
    return unsorted",0
self_constructed,Human,"def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n-i-1):
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]
    return arr",0
self_constructed,Human,"def selection_sort(collection):
    length = len(collection)
    for i in range(length - 1):
        least = i
        for k in range(i + 1, length):
            if collection[k] < collection[least]:
                least = k
        collection[least], collection[i] = collection[i], collection[least]
    return collection",0
self_constructed,Human,"def insertion_sort(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1
        while j >= 0 and key < arr[j]:
            arr[j + 1] = arr[j]
            j -= 1
        arr[j + 1] = key
    return arr",0
self_constructed,Human,"def depth_first_search(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    for next in graph[start] - visited:
        depth_first_search(graph, next, visited)
    return visited",0
self_constructed,Human,"def topological_sort(graph):
    visited = set()
    stack = []
    def dfs(u):
        visited.add(u)
        if u in graph:
            for v in graph[u]:
                if v not in visited: dfs(v)
        stack.insert(0, u)
    for u in graph:
        if u not in visited: dfs(u)
    return stack",0
